Name,City,State,Total Enrollment,Enrollment Men,Enrollment Women,Another Gender,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident
Johnson University Florida,Kissimmee,FL,155,99,56,0,1,1,35,41,0,44,2,5,26
Jones Technical Institute,Jacksonville,FL,522,465,57,0,2,9,132,63,3,245,45,23,0
Jose Maria Vargas University,Pembroke Pines,FL,114,9,105,0,0,0,0,100,0,0,0,0,14
Kaizen Beauty Academy,Pembroke Pines,FL,82,1,81,0,0,4,31,29,0,16,0,1,1
KCK Beauty & Barber Academy,Jacksonville,FL,22,13,9,0,0,0,21,1,0,0,0,0,0
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,19020,5489,13531,0,107,365,3320,5792,41,4527,175,4105,588
Key College,Fort Lauderdale,FL,23,0,23,0,0,0,4,5,1,13,0,0,0
La Belle Beauty Academy,Miami,FL,174,2,172,0,0,0,1,173,0,0,0,0,0
La Belle Beauty School,Hialeah,FL,238,2,236,0,0,0,2,236,0,0,0,0,0
Lake Technical College,Eustis,FL,744,431,313,0,17,9,104,149,4,437,24,0,0
Lake-Sumter State College,Leesburg,FL,4460,1694,2766,0,23,213,462,1092,8,2299,170,162,31
Larkin University,Miami,FL,116,30,86,0,1,13,23,63,0,13,1,2,0
Latin Beauty Academy,greenacres,FL,234,26,208,0,0,1,12,208,0,4,0,0,9
Lee Professional Institute,Fort Myers,FL,5,1,4,0,0,0,0,5,0,0,0,0,0
Lindsey Hopkins Technical College,Miami,FL,476,239,237,0,0,0,328,124,2,22,0,0,0
Lively Technical College,Tallahassee,FL,1430,791,639,0,5,8,577,80,0,693,51,0,16
Loraines Academy & Spa,Saint Petersburg,FL,103,9,94,0,0,2,30,19,0,40,4,7,1
Lorenzo Walker Technical College,Naples,FL,675,309,366,0,0,0,128,340,8,186,13,0,0
Lynn University,Boca Raton,FL,3520,1639,1881,0,8,57,401,647,2,1581,98,172,554
M-DCPS The English Center,Miami,FL,123,27,96,0,0,0,6,112,0,5,0,0,0
Manatee Technical College,Bradenton,FL,1054,608,446,0,1,13,109,412,0,454,42,0,23
Mariano Moreno Culinary Institute,Miami,FL,150,64,86,0,0,1,7,100,1,8,0,0,33
Med Academy,Hialeah,FL,248,82,166,0,0,1,21,202,0,24,0,0,0
Medical Institute of Palm Beach,Greenacres,FL,115,13,102,0,0,0,63,43,0,6,0,3,0
Mercy Hospital School of Practical Nursing,Miami,FL,59,11,48,0,0,1,21,31,0,4,0,2,0
Meridian College,Sarasota,FL,132,3,129,0,0,0,25,31,0,75,1,0,0
Merryfield School of Pet Grooming,Oakland Park,FL,63,9,54,0,0,0,3,46,1,13,0,0,0
Miami Ad School,Miami,FL,87,20,67,0,0,2,6,32,0,29,1,17,0
Miami Dade College,Miami,FL,47245,19732,27513,0,16,518,6923,33658,18,2085,457,343,3227
Miami Lakes Educational Center and Technical College,Miami Lakes,FL,850,727,123,0,1,8,310,357,4,161,9,0,0
Miami Media School,Doral,FL,31,13,18,0,0,0,12,15,0,4,0,0,0
Miami Regional University,Miami Springs,FL,801,241,560,0,0,2,41,743,0,14,1,0,0
Millennia Atlantic University,Doral,FL,109,48,61,0,0,0,1,17,0,0,0,0,91
More Tech Institute,Hialeah,FL,63,5,58,0,0,0,0,63,0,0,0,0,0
National Aviation Academy of Tampa Bay,Clearwater,FL,608,565,43,0,5,16,75,121,0,314,53,23,1
National Personal Training Institute,Orlando,FL,37,29,8,0,0,2,7,14,0,9,4,0,1
National Personal Training Institute-Tampa,Tampa,FL,23,20,3,0,0,1,6,8,0,6,2,0,0
New College of Florida,Sarasota,FL,689,227,462,0,0,32,27,116,1,441,38,8,26
New Concept Massage and Beauty School,Miami,FL,62,21,41,0,0,0,0,62,0,0,0,0,0
New Professions Technical Institute,Miami,FL,279,42,237,0,0,0,19,260,0,0,0,0,0
North Florida College,Madison,FL,1127,330,797,0,7,8,259,101,0,718,22,11,1
North Florida Cosmetology Institute,Tallahassee,FL,86,8,78,0,0,1,66,3,0,12,4,0,0
North Florida Technical College,Starke,FL,45,30,15,0,0,1,19,2,0,23,0,0,0
Northwest Florida State College,Niceville,FL,4898,1938,2960,0,26,146,398,615,13,3135,328,205,32
Nouvelle Institute,Miami,FL,53,1,52,0,0,0,0,53,0,0,0,0,0
Nova Southeastern University,Fort Lauderdale,FL,20948,5925,15023,40,21,2012,3439,6682,21,6363,641,892,877
Okaloosa Technical College,Fort Walton Beach,FL,273,179,94,0,1,8,30,36,0,172,24,0,2
Orange Technical College,Orlando,FL,142,28,114,0,0,10,53,53,1,22,1,2,0
Orange Technical College-East Campus,Winter Park,FL,2132,1204,928,0,6,99,553,773,10,610,51,0,30
Orange Technical College-Mid Florida Campus,Orlando,FL,2310,1805,505,0,13,60,349,1013,4,841,30,0,0
Orange Technical College-Westside Campus,Winter Garden,FL,1569,986,583,0,7,87,384,494,8,563,24,2,0
Osceola Technical College,Kissimmee,FL,621,333,288,0,4,11,69,420,2,104,11,0,0
Palm Beach Academy of Health & Beauty,Lake Park,FL,90,17,73,0,0,2,71,3,0,8,2,4,0
Palm Beach Atlantic University,West Palm Beach,FL,3828,1382,2446,9,10,79,357,688,4,2047,88,271,284
Palm Beach State College,Lake Worth,FL,24223,9681,14542,0,38,785,6892,8118,33,6812,640,527,378
Parisian Spa Institute,Jacksonville,FL,202,7,195,0,1,5,111,27,0,54,4,0,0
Pasco-Hernando State College,New Port Richey,FL,9202,3550,5652,0,13,304,545,2090,11,4984,386,844,25
Paul Mitchell the School-Fort Lauderdale,Plantation,FL,59,7,52,0,1,1,25,15,0,8,4,5,0
Paul Mitchell the School-Fort Myers,Fort Myers,FL,120,25,95,0,0,0,6,16,1,77,19,1,0
Paul Mitchell the School-Jacksonville,Jacksonville,FL,124,1,123,0,0,0,19,11,0,88,3,3,0
Paul Mitchell the School-Miami,Miami,FL,117,9,108,0,1,1,21,63,0,23,4,4,0
Paul Mitchell the School-Orlando,Oviedo,FL,168,34,134,0,0,3,23,59,1,65,9,8,0
Paul Mitchell the School-Tampa,Tampa,FL,150,36,114,0,1,1,34,12,0,86,7,9,0
Pensacola School of Massage Therapy & Health Careers,Pensacola,FL,57,9,48,0,0,1,26,3,0,24,3,0,0
Pensacola State College,Pensacola,FL,7981,2855,5126,0,44,231,1355,772,22,4878,595,20,64
Pets Playground Grooming School,Pompano Beach,FL,14,3,11,0,0,0,0,4,0,10,0,0,0
PiBerry Institute,Homestead,FL,41,1,40,0,0,0,10,28,0,0,0,0,3
Pinellas Technical College-Clearwater,Clearwater,FL,645,386,259,0,2,34,121,151,1,310,19,0,7
Pinellas Technical College-St. Petersburg,Saint Petersburg,FL,646,367,279,0,0,19,250,94,0,266,13,0,4
Polk State College,Winter Haven,FL,8180,2811,5369,0,18,265,1368,2296,18,3711,298,90,116
Polytechnic University of Puerto Rico-Miami,Miami,FL,61,28,33,0,0,0,0,61,0,0,0,0,0
Polytechnic University of Puerto Rico-Orlando,Orlando,FL,134,87,47,0,0,0,3,126,0,0,0,2,3
Praxis Institute,Miami,FL,409,189,220,0,0,0,0,409,0,0,0,0,0
Premiere International College,Fort Myers,FL,22,4,18,0,0,2,15,3,0,2,0,0,0
Prestige Health & Beauty Sciences Academy,Hallandale Beach,FL,69,6,63,0,0,7,0,3,0,58,0,0,1
Radford M Locklin Technical College,Milton,FL,425,337,88,0,4,4,22,20,4,354,17,0,0
Rasmussen University-Florida,Ocala,FL,8166,1122,7044,0,43,252,1863,1358,21,3273,249,1106,1
Ridge Technical College,Winter Haven,FL,403,202,201,0,0,4,80,178,0,139,0,2,0
Ringling College of Art and Design,Sarasota,FL,1705,464,1241,0,4,168,55,242,4,748,84,41,359
Riveroak Technical College,Live Oak,FL,187,71,116,0,2,3,41,10,1,90,39,0,1
Robert Fiance Beauty Schools,Boynton Beach,FL,207,16,191,0,1,4,35,90,0,62,4,1,10
Robert Morgan Educational Center and Technical College,Miami,FL,805,498,307,0,0,10,161,560,0,73,1,0,0
Rollins College,Winter Park,FL,3029,1247,1782,1,6,109,192,534,4,1737,120,58,269
Ruben's Five Star Academy,Lake Wales,FL,15,13,2,0,0,0,5,9,0,1,0,0,0
SABER College,Miami,FL,122,35,87,0,0,0,8,114,0,0,0,0,0
Saint Johns River State College,Palatka,FL,6434,2365,4069,0,25,200,559,871,20,4151,310,271,27
Saint Leo University,Saint Leo,FL,10242,4003,6239,1,33,176,2125,1484,8,2968,189,2557,702
Saint Vincent de Paul Regional Seminary,Boynton Beach,FL,137,134,3,0,0,9,0,33,0,62,2,0,31
Salon Professional Academy-Elevate Salon Institute,Miami Beach,FL,25,2,23,0,0,0,4,9,0,9,3,0,0
San Ignacio University,Doral,FL,207,94,113,0,3,2,0,74,0,1,0,0,127
Santa Fe College,Gainesville,FL,12729,5797,6932,0,29,500,1431,2742,16,6852,533,335,291
Sarasota School of Massage Therapy,Sarasota,FL,86,18,68,0,1,2,5,16,6,47,3,5,1
Schiller International University,Tampa,FL,43,18,25,0,0,1,4,8,0,13,2,15,0
Seminole State College of Florida,Sanford,FL,14323,6179,8144,0,32,634,2076,4157,31,6269,563,274,287
Shear Excellence Hair Academy,Tampa,FL,168,85,83,0,0,2,56,86,0,20,3,0,1
Shear Finesse Beauty Academy,Jacksonville,FL,34,17,17,0,0,2,27,3,0,1,1,0,0
Sheridan Technical College,Hollywood,FL,1475,724,751,0,6,31,825,383,3,190,37,0,0
South Dade Technical College-South Dade Skills Center Campus,HOMESTEAD,FL,338,115,223,0,0,3,114,211,0,7,3,0,0
South Florida Bible College and Theological Seminary,Deerfield Beach,FL,317,140,177,0,1,3,55,53,0,78,6,14,107
South Florida Institute of Technology,Miami,FL,2288,1218,1070,0,0,0,0,2288,0,0,0,0,0
South Florida State College,Avon Park,FL,2892,980,1912,0,6,59,305,1193,8,1135,46,112,28
South University-Tampa,Tampa,FL,712,120,592,0,3,31,175,222,2,247,12,11,9
South University-West Palm Beach,Royal Palm Beach,FL,528,120,408,6,2,28,207,108,2,153,7,16,5
Southeastern College-West Palm Beach,West Palm Beach,FL,608,60,548,0,3,6,270,189,0,69,5,66,0
Southeastern University,Lakeland,FL,10044,4033,6011,0,70,211,1153,2167,37,5515,342,308,241
Southern Technical College,Fort Myers,FL,578,244,334,0,4,5,146,85,3,269,32,34,0
Southern Technical College,Fort Myers,FL,1521,813,708,0,5,16,418,434,7,590,26,25,0
St Petersburg College,St. Petersburg,FL,23501,9000,14501,0,79,1035,3016,4210,57,13446,954,533,171
St. John Vianney College Seminary,Miami,FL,51,49,2,0,0,1,4,15,0,18,0,0,13
St. Thomas University,Miami Gardens,FL,6370,2640,3730,30,10,70,1314,2969,9,806,126,651,415
State College of Florida-Manatee-Sarasota,Bradenton,FL,8588,3179,5409,0,52,319,726,2011,4,4752,50,484,190
Stetson University,DeLand,FL,3928,1699,2229,31,13,92,387,723,4,2234,179,86,210
Strayer University-Florida,Tampa,FL,1445,411,1034,37,10,14,734,213,5,385,56,26,2
Summit Salon Academy,Tampa,FL,172,11,161,0,0,2,15,45,0,100,6,4,0
Summit Salon Academy,Tampa,FL,138,3,135,0,1,0,11,1,0,125,0,0,0
Summit Salon Academy,Tampa,FL,107,3,104,0,3,4,5,12,0,73,10,0,0
Summit Salon Academy-Gainesville,Gainesville,FL,145,2,143,0,0,1,47,19,0,70,5,3,0
Suncoast Technical College,Sarasota,FL,1138,717,421,0,2,15,124,274,0,683,40,0,0
Tallahassee Community College,Tallahassee,FL,11266,4881,6385,0,24,163,3305,2686,14,4479,346,80,169
Talmudic College of Florida,Miami Beach,FL,34,34,0,0,0,0,0,0,0,30,0,0,4
Taylor College,Belleview,FL,308,26,282,0,4,0,169,25,0,90,10,10,0
Tenaj Salon Institute,The Villages,FL,77,1,76,0,0,1,17,13,0,46,0,0,0
The Baptist College of Florida,Graceville,FL,410,207,203,0,3,10,24,11,0,262,15,85,0
The College of the Florida Keys,Key West,FL,920,409,511,0,1,8,118,256,3,447,22,49,16
The Salon Professional Academy-Delray Beach,Delray Beach,FL,48,18,30,0,0,0,26,15,0,7,0,0,0
The Salon Professional Academy-Ft Myers,Fort Myers,FL,95,1,94,0,0,0,2,18,1,60,14,0,0
The Salon Professional Academy-Melbourne,Melbourne,FL,115,6,109,0,1,5,32,19,2,50,2,4,0
The University of Tampa,Tampa,FL,10566,4399,6167,0,12,178,329,1300,7,6998,343,632,767
The University of West Florida,Pensacola,FL,13521,5135,8386,0,45,501,1481,1617,30,8154,730,565,398
Tom P. Haney Technical College,Panama City,FL,424,254,170,0,0,8,77,29,1,280,11,13,5
Total Beauty Institute,Jacksonville,FL,22,2,20,0,0,0,18,1,0,3,0,0,0
Traviss Technical College,Lakeland,FL,337,182,155,0,2,4,54,111,1,157,6,0,2
Treasure Coast Technical College,Vero Beach,FL,90,35,55,0,0,1,30,19,0,38,1,0,1
Trendsetters School of Beauty & Barbering,Jacksonville,FL,18,13,5,0,0,0,16,1,0,1,0,0,0
Trinity Baptist College,Jacksonville,FL,350,194,156,0,1,3,61,32,1,234,12,4,2
Trinity College of Florida,Trinity,FL,181,97,84,0,1,5,41,37,0,85,7,4,1
Trinity International University-Florida,Miami,FL,120,50,70,9,0,1,30,49,0,27,0,9,4
Tulsa Welding School-Jacksonville,Jacksonville,FL,931,832,99,0,10,6,256,154,7,494,0,4,0
Tulsa Welding School-Jacksonville,Jacksonville,FL,272,252,20,0,0,5,139,37,3,84,0,4,0
Ultimate Medical Academy,Clearwater,FL,6368,199,6169,6,54,46,3899,68,41,2129,0,130,1
Ultrasound Medical Institute,Royal Palm Beach,FL,64,8,56,0,0,1,53,5,0,4,0,1,0
United International College,Miramar,FL,52,24,28,0,0,0,0,1,0,0,0,0,51
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,Orlando,FL,943,903,40,0,9,9,81,128,4,602,76,33,1
Universal Technical Institute-South Florida Miramar,Miramar,FL,152,144,8,0,1,3,41,66,0,19,16,6,0
University of Central Florida,Orlando,FL,68346,30531,37815,10,81,4879,6669,19295,79,30544,3000,731,3068
University of Florida,Gainesville,FL,55211,23787,31424,0,46,5093,3079,11404,25,27118,2272,1223,4951
University of Florida-Online,Gainesville,FL,5356,2496,2860,0,5,378,253,1216,5,3051,251,197,0
University of Fort Lauderdale,Lauderhill,FL,231,197,34,0,1,0,128,51,2,21,11,15,2
University of Miami,Coral Gables,FL,19402,8801,10601,93,22,898,1723,4766,30,8096,692,817,2358
University of North Florida,Jacksonville,FL,16406,6673,9733,0,38,938,1963,2513,16,9538,852,135,413
University of South Florida,Tampa,FL,49600,21001,28599,0,69,3772,3969,10069,48,22100,1857,1979,5737
UR Beauty & Barber Academy,Sebring,FL,17,2,15,0,0,0,4,7,0,4,2,0,0
Valencia College,Orlando,FL,43370,17731,25639,0,103,2216,7080,17888,89,10836,1410,1276,2472
Warner University,Lake Wales,FL,849,456,393,0,3,4,291,156,1,340,22,0,32
Webber International University,Babson Park,FL,1133,789,344,0,6,8,360,95,9,458,25,64,108
West Coast University-Miami,Doral,FL,914,95,819,0,0,15,125,709,0,44,15,2,4
William T McFatter Technical College,Davie,FL,811,512,299,0,3,26,254,302,4,198,24,0,0
Wilton Simpson Technical College,Brooksville,FL,78,66,12,0,0,0,5,15,2,51,5,0,0
Withlacoochee Technical College,Inverness,FL,383,245,138,0,1,6,21,55,1,284,15,0,0
World Class Academy of Beauty Careers,Tallahassee,FL,42,6,36,0,0,0,42,0,0,0,0,0,0
Yeshivah Gedolah Rabbinical College,Miami Beach,FL,44,44,0,0,0,0,0,0,0,40,0,0,4
College of Micronesia-FSM,Pohnpei,FM,1996,811,1185,0,0,4,0,0,1992,0,0,0,0
Abraham Baldwin Agricultural College,Tifton,GA,3647,1459,2188,0,10,43,320,307,3,2881,42,5,36
Agnes Scott College,Decatur,GA,1114,24,1090,4,1,67,392,140,3,384,61,27,39
Albany State University,Albany,GA,6334,1605,4729,0,13,26,4990,296,0,581,124,274,30
Albany Technical College,Albany,GA,2577,759,1818,0,3,10,2061,71,0,371,57,1,3
Altierus Career College-Norcross,Norcross,GA,319,74,245,0,0,11,172,90,0,25,16,4,1
American InterContinental University-Atlanta,Atlanta,GA,1050,357,693,383,2,2,516,2,0,84,32,412,0
Andrew College,Cuthbert,GA,247,100,147,0,0,0,102,21,0,103,10,5,6
Athens Technical College,Athens,GA,3865,1318,2547,0,7,76,802,630,5,2216,69,36,24
Atlanta Institute of Music and Media,Duluth,GA,250,196,54,0,2,3,131,10,0,84,18,2,0
Atlanta Metropolitan State College,Atlanta,GA,1435,498,937,0,1,16,1237,77,0,45,33,6,20
Atlanta School of Massage,Atlanta,GA,333,25,308,17,1,10,195,24,0,61,23,19,0
Atlanta Technical College,Atlanta,GA,3125,1110,2015,0,14,41,2646,209,4,117,73,4,17
Atlanta's John Marshall Law School,Atlanta,GA,342,120,222,0,6,26,140,48,0,106,0,12,4
Augusta School of Massage,Evans,GA,41,8,33,0,0,0,22,2,1,12,4,0,0
Augusta Technical College,Augusta,GA,3970,1631,2339,0,13,49,2070,246,6,1381,164,40,1
Augusta University,Augusta,GA,9140,3092,6048,0,11,894,2094,758,13,4669,423,154,124
Aviation Institute of Maintenance-Atlanta,Duluth,GA,728,673,55,0,3,29,355,97,3,137,78,7,19
Berry College,Mount Berry,GA,2360,860,1500,0,5,67,202,239,2,1712,108,15,10
Beulah Heights University,Atlanta,GA,371,185,186,0,0,91,179,22,0,34,1,44,0
Brenau University,Gainesville,GA,2704,350,2354,0,8,79,765,282,2,1287,85,140,56
Brewton-Parker College,Mount Vernon,GA,911,527,384,0,10,19,266,90,4,462,0,35,25
Central Georgia Technical College,Warner Robins,GA,9683,3841,5842,0,20,166,4599,661,8,3783,383,29,34
Chamberlain University-Georgia,Sandy Springs,GA,1421,134,1287,23,8,76,892,131,1,252,23,35,3
Chattahoochee Technical College,Marietta,GA,9017,3869,5148,0,36,268,2442,1683,10,4085,335,42,116
Clark Atlanta University,Atlanta,GA,4000,969,3031,0,4,3,2404,9,0,17,0,1527,36
Clayton  State University,Morrow,GA,5847,1806,4041,0,17,385,3609,625,7,788,165,160,91
Coastal Pines Technical College,Waycross,GA,3747,1307,2440,0,9,34,725,448,3,2362,136,19,11
College of Coastal Georgia,Brunswick,GA,3147,960,2187,0,6,61,613,256,4,1883,69,209,46
Columbia Theological Seminary,Decatur,GA,158,60,98,1,0,10,81,0,0,42,0,0,25
Columbus State University,Columbus,GA,7479,2972,4507,0,19,218,2792,584,15,3281,278,137,155
Columbus Technical College,Columbus,GA,3134,948,2186,0,15,36,1557,358,7,990,143,19,9
Covenant College,Lookout Mountain,GA,886,409,477,0,7,25,12,4,1,767,39,4,27
Dalton Institute of Esthetics and Cosmetology,Dalton,GA,85,0,85,0,0,1,6,23,0,51,4,0,0
Dalton State College,Dalton,GA,4527,1757,2770,0,17,98,146,1578,2,2465,76,93,52
DeVry University-Georgia,Decatur,GA,532,221,311,79,4,8,323,31,1,100,13,44,8
East Georgia State College,Swainsboro,GA,1873,839,1034,0,2,23,714,133,2,867,82,41,9
Elaine Sterling Institute,Atlanta,GA,599,8,591,0,0,4,484,53,1,38,13,0,6
Emmanuel College,Franklin Springs,GA,850,457,393,0,3,8,112,60,6,529,36,0,96
Emmanuel College,Franklin Springs,GA,2012,456,1556,1,1,93,123,233,3,1289,54,204,12
Emory University,Atlanta,GA,14841,5753,9088,0,12,2604,1885,1376,7,5502,605,298,2552
Emory University-Oxford College,Oxford,GA,1048,494,554,0,0,320,93,112,1,332,30,20,140
Empire Beauty School-Augusta,Augusta,GA,71,1,70,0,0,0,45,3,0,7,2,14,0
Empire Beauty School-Gwinnett,Lawrenceville,GA,102,4,98,0,0,0,85,8,0,2,2,5,0
Empire Beauty School-Kennesaw,Kennesaw,GA,111,4,107,0,0,3,50,6,0,15,2,35,0
Empire Beauty School-Morrow,Morrow,GA,203,7,196,0,0,0,172,4,0,1,1,25,0
Empire Beauty School-Northlake,Atlanta,GA,111,2,109,0,0,0,107,1,0,1,1,1,0
Empire Beauty School-Savannah,Savannah,GA,157,7,150,0,0,1,92,10,0,17,4,33,0
Fort Valley State University,Fort Valley,GA,2605,903,1702,0,2,13,2347,58,0,85,65,8,27
Fortis College-Smyrna,Smyrna,GA,450,155,295,0,0,12,274,88,0,57,17,2,0
Georgia Career Institute,Conyers,GA,593,18,575,0,0,7,396,35,0,148,4,3,0
Georgia College & State University,Milledgeville,GA,6315,2176,4139,0,9,101,466,379,6,5028,197,71,58
Georgia Gwinnett College,Lawrenceville,GA,11030,4553,6477,0,25,1250,3445,2884,20,2549,430,90,337
Georgia Highlands College,Rome,GA,4768,1709,3059,0,9,68,773,887,5,2747,192,31,56
Georgia Institute of Cosmetology,Athens,GA,298,5,293,1,1,2,110,44,0,141,0,0,0
Georgia Institute of Technology-Main Campus,Atlanta,GA,45296,30704,14592,0,27,10663,2334,2922,25,14924,1439,567,12395
Georgia Military College,Milledgeville,GA,6998,2701,4297,0,102,221,2720,587,30,2856,6,449,27
Georgia Northwestern Technical College,Rome,GA,6141,2303,3838,0,18,65,473,1301,5,4083,174,2,20
Georgia Piedmont Technical College,Clarkston,GA,2874,1041,1833,0,5,98,2156,222,1,252,99,13,28
Georgia Southern University,Statesboro,GA,25481,10309,15172,0,75,550,6319,1928,29,14832,1112,165,471
Georgia Southwestern State University,Americus,GA,3070,1023,2047,0,6,84,795,173,1,1740,78,13,180
Georgia State University,Atlanta,GA,36516,14365,22151,0,34,5062,14256,4572,21,7830,1821,221,2699
Georgia State University-Perimeter College,Atlanta,GA,15456,5936,9520,0,25,1969,6738,2206,13,2920,717,73,795
Gordon State College,Barnesville,GA,3135,1111,2024,0,0,24,1172,161,2,1615,121,30,10
Grady Health System Professional Schools,Atlanta,GA,61,12,49,0,0,5,24,7,0,19,6,0,0
Gupton Jones College of Funeral Service,Decatur,GA,479,180,299,0,0,0,329,16,0,131,3,0,0
Gwinnett College-Lilburn,Lilburn,GA,130,15,115,0,0,4,75,41,0,10,0,0,0
Gwinnett College-Marietta Campus,Marietta,GA,154,18,136,0,0,0,111,18,0,13,2,10,0
Gwinnett College-Sandy Springs,Sandy Springs,GA,80,12,68,0,0,1,46,13,0,20,0,0,0
Gwinnett Technical College,Lawrenceville,GA,8450,3513,4937,0,20,755,3021,1824,16,2173,339,141,161
Helms College,Macon,GA,170,66,104,0,0,2,111,6,0,49,2,0,0
Herzing University-Atlanta,Atlanta,GA,663,113,550,0,1,43,465,34,1,59,21,39,0
Hogan Institute of Cosmetology and Esthetics,Lilburn,GA,79,1,78,0,0,2,60,10,0,4,3,0,0
Institute of Medical Ultrasound,Atlanta,GA,32,0,32,0,0,4,11,3,0,14,0,0,0
Interactive College of Technology-Chamblee,Chamblee,GA,543,359,184,0,0,53,280,125,0,85,0,0,0
Interactive College of Technology-Gainesville,Gainesville,GA,61,12,49,0,0,7,14,33,0,7,0,0,0
Interactive College of Technology-Morrow,Morrow,GA,93,34,59,0,0,2,74,13,0,4,0,0,0
Interdenominational Theological Center,Atlanta,GA,193,107,86,2,0,0,185,0,1,1,2,2,2
International School of Skin Nailcare & Massage Therapy,Sandy Springs,GA,317,14,303,0,0,7,215,31,1,31,23,8,1
Kennesaw State University,Kennesaw,GA,43190,21267,21923,0,62,2368,10805,5886,56,19655,2049,1042,1267
Keune Academy by 124,Lawrenceville,GA,116,3,113,0,1,2,6,27,0,75,5,0,0
LaGrange College,Lagrange,GA,679,367,312,0,2,6,181,24,0,383,19,52,12
Lanier Technical College,Gainesville,GA,5599,2207,3392,0,22,198,471,1441,3,3241,163,2,58
Life University,Marietta,GA,2753,1345,1408,2,40,108,573,572,0,1136,0,100,224
Lincoln College of Technology-Marietta,Marietta,GA,431,351,80,0,1,7,212,79,1,51,8,72,0
Luther Rice College & Seminary,Lithonia,GA,581,417,164,0,2,16,227,19,0,308,0,9,0
MAK Beauty Institute,Cumming,GA,9,1,8,0,0,0,0,1,0,7,0,1,0
Mercer University,Macon,GA,8889,2912,5977,0,13,745,2840,585,9,3922,288,219,268
Miami Ad School-Atlanta,Atlanta,GA,67,18,49,0,1,1,11,10,0,35,1,8,0
Middle Georgia State University,Macon,GA,7688,3403,4285,35,16,241,2338,523,9,4079,314,35,133
Miller-Motte College-Augusta,Augusta,GA,482,107,375,0,0,2,426,5,0,33,9,7,0
Miller-Motte College-Columbus,Columbus,GA,300,44,256,0,0,0,265,0,1,21,6,7,0
Miller-Motte College-Macon,Macon,GA,210,18,192,0,0,0,184,3,1,15,6,1,0
Morehouse College,Atlanta,GA,2567,2565,2,0,1,0,2527,1,0,5,21,0,12
Morehouse School of Medicine,Atlanta,GA,891,307,584,7,4,47,650,21,1,31,27,110,0
Morris Brown College,Atlanta,GA,253,112,141,0,0,0,252,1,0,0,0,0,0
North Georgia Technical College,Clarkesville,GA,2449,986,1463,0,14,30,134,237,1,1953,67,11,2
Oconee Fall Line Technical College,Sandersville,GA,1819,632,1187,0,4,4,884,50,4,829,33,9,2
Ogeechee Technical College,Statesboro,GA,2045,704,1341,0,11,12,621,204,5,1124,53,13,2
Oglethorpe University,Atlanta,GA,1491,557,934,16,5,58,330,335,1,573,58,32,99
Paine College,Augusta,GA,310,132,178,0,3,0,251,11,0,3,13,12,17
Paul Mitchell the School-Atlanta,Atlanta,GA,319,17,302,0,0,2,262,10,0,31,4,10,0
Paul Mitchell the School-Esani,Roswell,GA,387,11,376,0,1,11,148,59,8,143,14,3,0
Piedmont University,Demorest,GA,1843,521,1322,0,4,21,300,146,0,1255,31,71,15
Point University,West Point,GA,2015,972,1043,0,10,33,472,160,3,1064,159,64,50
Pontifex University,Atlanta,GA,111,53,58,0,0,7,1,22,0,70,8,0,3
Pro Way Hair School,Stone Mountain,GA,58,31,27,0,0,0,55,0,0,2,1,0,0
Profile Institute of Barber-Styling,Atlanta,GA,38,30,8,0,0,0,38,0,0,0,0,0,0
Reformed University,Lawrenceville,GA,281,125,156,0,0,36,3,18,0,5,0,0,219
Reinhardt University,Waleska,GA,1141,586,555,0,8,11,233,91,2,655,23,70,48
Rivertown School of Beauty Barber Skin Care and Nails,Columbus,GA,148,29,119,0,0,1,126,6,0,14,0,1,0
Savannah College of Art and Design,Savannah,GA,16414,4935,11479,4,89,924,1813,1038,33,7864,46,824,3783
Savannah State University,Savannah,GA,2945,1103,1842,0,3,2,2492,162,1,112,90,30,53
Savannah Technical College,Savannah,GA,3642,1319,2323,0,8,52,1829,383,6,1173,137,17,37
Shorter University,Rome,GA,1515,670,845,0,9,19,266,142,3,956,49,42,29
South Georgia State College,Douglas,GA,1793,577,1216,0,4,7,417,197,1,1081,46,27,13
South Georgia Technical College,Americus,GA,1799,833,966,0,7,19,896,98,1,735,37,3,3
South University-Savannah,Savannah,GA,722,179,543,11,4,42,218,58,4,369,6,16,5
South University-Savannah Online,Savannah,GA,7707,1664,6043,126,79,92,3009,1340,61,2649,243,220,14
Southeastern Technical College,Vidalia,GA,1757,495,1262,0,3,11,400,221,0,1083,30,1,8
Southern Crescent Technical College,Griffin,GA,5018,1442,3576,0,10,76,2645,347,6,1772,130,25,7
Southern Regional Technical College,Thomasville,GA,4657,1552,3105,0,14,25,1622,455,0,2441,59,24,17
Spelman College,Atlanta,GA,3102,168,2934,127,29,42,2628,0,6,219,37,127,14
Strayer University-Georgia,Chamblee,GA,4904,1082,3822,138,11,17,3699,156,7,797,160,56,1
The Art Institute of Atlanta,Atlanta,GA,457,206,251,0,2,4,326,42,1,35,15,20,12
The Creative Circus,Atlanta,GA,37,16,21,0,0,0,5,4,0,22,5,1,0
Thomas University,Thomasville,GA,1531,511,1020,0,2,26,443,72,0,591,0,393,4
